ISIN,Position,PortfolioName,InvestorName
US26613Q1067,,WebPortfolio,WebInvestor
JP3805010000,,WebPortfolio,WebInvestor
US8010561020,,WebPortfolio,WebInvestor
US8326964058,,WebPortfolio,WebInvestor
SE0000242455,,WebPortfolio,WebInvestor
SE0000112724,,WebPortfolio,WebInvestor
CA05534B7604,,WebPortfolio,WebInvestor
JP3569200003,,WebPortfolio,WebInvestor
GB0008782301,,WebPortfolio,WebInvestor
IT0003132476,,WebPortfolio,WebInvestor
US8782371061,1000,WebPortfolio,WebInvestor
DE0006599905,1000,WebPortfolio,WebInvestor
CA3359341052,1000,WebPortfolio,WebInvestor
HK0000069689,1000,WebPortfolio,WebInvestor
MXP000511016,1000,WebPortfolio,WebInvestor
BRABEVACNOR1,1000,WebPortfolio,WebInvestor
KYG0420V1068,1000,WebPortfolio,WebInvestor
INE238A01034,1000,WebPortfolio,WebInvestor
US0567521085,1000,WebPortfolio,WebInvestor
ZAE000174124,1000,WebPortfolio,WebInvestor
ZAE000026639,1000,WebPortfolio,WebInvestor
BRBBDCACNPR8,1000,WebPortfolio,WebInvestor
ID1000095003,1000,WebPortfolio,WebInvestor
KYG193031096,1000,WebPortfolio,WebInvestor
TW0002474004,1000,WebPortfolio,WebInvestor
TW0002882008,1000,WebPortfolio,WebInvestor
BRCCROACNOR2,1000,WebPortfolio,WebInvestor
TW0002385002,1000,WebPortfolio,WebInvestor
KYG2157Q1029,1000,WebPortfolio,WebInvestor
HK0836012952,1000,WebPortfolio,WebInvestor
HK0000049939,1000,WebPortfolio,WebInvestor
HK0883013259,-100,WebPortfolio,WebInvestor
EGS60121C018,1000,WebPortfolio,WebInvestor
TW0002324001,1000,WebPortfolio,WebInvestor
BMG253431073,1000,WebPortfolio,WebInvestor
BMG2519Y1084,1000,WebPortfolio,WebInvestor
US22943F1003,1000,WebPortfolio,WebInvestor
BRCYREACNOR7,-200,WebPortfolio,WebInvestor
TW0002308004,1000,WebPortfolio,WebInvestor
BRENBRACNOR2,1000,WebPortfolio,WebInvestor
TW0003529004,1000,WebPortfolio,WebInvestor
US29760G1031,1000,WebPortfolio,WebInvestor
